id_empleado,score_desempeño,comentarios
101,7,Aceptable
102,,Aceptable
103,excelente,Excelente
104,6,Excelente
105,7,Muy bueno
106,10,Muy bueno
107,7,Regular
108,7,
109,7,Regular
110,8,
111,10,Buen desempeño
112,6,Aceptable
113,6,Aceptable
114,15,Aceptable
115,,Muy bueno
116,9,Excelente
117,,Excelente
118,8,Muy bueno
119,8,Buen desempeño
120,,Excelente
121,9,Regular
122,8,Muy bueno
123,excelente,
124,10,Regular
125,10,
126,6,Regular
127,10,
128,8,Buen desempeño
129,excelente,Aceptable
130,10,
131,,
132,10,Regular
133,10,Muy bueno
134,,Regular
135,7,Muy bueno
136,,Excelente
137,15,Excelente
138,10,
139,10,Buen desempeño
140,,Aceptable
141,6,Excelente
142,6,Excelente
143,excelente,Aceptable
144,9,Excelente
145,15,Muy bueno
146,9,Excelente
147,10,
148,8,
149,7,
150,6,Aceptable
151,excelente,Buen desempeño
152,15,
153,8,Buen desempeño
154,10,Aceptable
155,,Muy bueno
156,9,Muy bueno
157,15,Excelente
158,10,Muy bueno
159,10,Regular
160,10,
161,15,Buen desempeño
162,excelente,Buen desempeño
163,8,Muy bueno
164,,Excelente
165,15,Buen desempeño
166,,Buen desempeño
167,10,Excelente
168,7,Regular
169,15,
170,10,Excelente
171,,
172,15,Buen desempeño
173,9,Regular
174,6,Excelente
175,15,Excelente
176,9,
177,7,
178,excelente,
179,10,
180,,Buen desempeño
181,8,Buen desempeño
182,6,Aceptable
183,excelente,Buen desempeño
184,7,Muy bueno
185,8,Regular
186,excelente,Aceptable
187,,Excelente
188,8,Regular
189,7,Regular
190,,Aceptable
191,6,
192,15,Muy bueno
193,excelente,Regular
194,9,Aceptable
195,7,
196,15,Excelente
197,15,Buen desempeño
198,,Aceptable
199,9,Buen desempeño
200,excelente,Buen desempeño
201,9,
202,6,Buen desempeño
203,15,Muy bueno
204,8,Excelente
205,9,Buen desempeño
206,9,Excelente
207,9,Muy bueno
208,15,Muy bueno
209,6,Aceptable
210,8,Muy bueno
211,10,Muy bueno
212,7,
213,6,Muy bueno
214,6,Aceptable
215,9,Excelente
216,15,Buen desempeño
217,8,Aceptable
218,6,Muy bueno
219,,Excelente
220,7,
221,7,Regular
222,excelente,Aceptable
223,7,Regular
224,9,Excelente
225,6,
226,10,Regular
227,6,Buen desempeño
228,excelente,Regular
229,,
230,7,Regular
231,excelente,Buen desempeño
232,7,Aceptable
233,8,Buen desempeño
234,8,Aceptable
235,15,Regular
236,10,Regular
237,,Buen desempeño
238,7,
239,9,Regular
240,excelente,Muy bueno
241,,Aceptable
242,excelente,Regular
243,,
244,7,Aceptable
245,,Aceptable
246,10,Aceptable
247,8,
248,excelente,Buen desempeño
249,7,Buen desempeño
250,7,Regular
